U,Y
78.5844810571954,0
78.5844810571954,0.000841392871504825
78.5844810571954,0.00563366630955842
78.5844810571954,0.0162337180712312
78.5844810571954,0.0334126750516985
78.5844810571954,0.0574786555505157
78.5844810571954,0.0885423959100554
78.5844810571954,0.126630547876016
78.5844810571954,0.171734002859332
78.5844810571954,0.223828503184763
78.5844810571954,0.282883432893426
78.5844810571954,0.348865566765812
78.5844810571954,0.421740668874108
78.5844810571954,0.501474173895574
78.5844810571954,0.588031477198032
78.5844810571954,0.681378058057314
78.5844810571954,0.781479531702969
78.5844810571954,0.88830167100963
78.5844810571954,1.00181041524391
78.5844810571954,1.12197187329262
78.5844810571954,1.24875232453969
78.5844810571954,1.38211821874269
78.5844810571954,1.52203617548517
78.5844810571954,1.66847298345064
78.5844810571954,1.82139559962283
78.5844810571954,1.98077114845722
78.5844810571954,2.14656692104254
78.5844810571954,2.3187503742606
78.5844810571954,2.49728912994785
78.5844810571954,2.68215097406002
78.5844810571954,2.87330385584059
78.5844810571954,3.07071588699326
78.5844810571954,3.27435534085852
78.5844810571954,3.48419065159436
78.5844810571954,3.70019041336115
78.5844810571954,3.92232337951057
78.5844810571954,4.15055846177874
78.5844810571954,4.38486472948337
78.5844810571954,4.62521140872503
78.5844810571954,4.87156788159241
78.5844810571954,5.12390368537164
78.5844810571954,5.38218851175966
78.5844810571954,5.64639220608149
78.5844810571954,5.91648476651153
78.5844810571954,6.1924363432988
78.5844810571954,6.4742172379961
78.5844810571954,6.76179790269303
78.5844810571954,7.05514893925299
78.5844810571954,7.354241098554
78.5844810571954,7.65904527973334
78.5844810571954,7.96953252943606
78.5844810571954,8.28567404106729
78.5844810571954,8.60744115404831
78.5844810571954,8.93480535307648
78.5844810571954,9.26773826738878
78.5844810571954,9.60621167002921
78.5844810571954,9.95019747711985
78.5844810571954,10.2996677471356
78.5844810571954,10.6545946801826
78.5844810571954,11.0149506172804
78.5844810571954,11.3807080396477
78.5844810571954,11.7518395679914
78.5844810571954,12.1283179618001
78.5844810571954,12.5101161186401
78.5844810571954,12.8972070734558
78.5844810571954,13.2895639978734
78.5844810571954,13.687160199508
78.5844810571954,14.0899691212741
78.5844810571954,14.4979643407001
78.5844810571954,14.9111195692457
78.5844810571954,15.3294086516232
78.5844810571954,15.752805565122
78.5844810571954,16.1812844189367
78.5844810571954,16.6148194534981
78.5844810571954,17.0533850398086
78.5844810571954,17.4969556787798
78.5844810571954,17.9455060005744
78.5844810571954,18.3990107639507
78.5844810571954,18.8574448556111
78.5844810571954,19.3207832895533
78.5844810571954,19.7890012064253
78.5844810571954,20.2620738728832
78.5844810571954,20.7399766809526
78.5844810571954,21.2226851473932
78.5844810571954,21.7101749130664
78.5844810571954,22.2024217423063
78.5844810571954,22.6994015222939
78.5844810571954,23.2010902624342
78.5844810571954,23.707464093737
78.5844810571954,24.2184992682002
78.5844810571954,24.7341721581966
78.5844810571954,25.254459255864
78.5844810571954,25.7793371724977
